OBJECTID,building_name,measured_height,building_class,storeys_above_ground,gameobject_name,lat,long
504,TELOK AYER CONSERVATION AREA,10.1210,habitation,3,CityEngineMaterial_504_m,1.28078,103.846
505,TELOK AYER CONSERVATION AREA,10.1460,habitation,3,CityEngineMaterial_505_m,1.28082,103.846
506,TELOK AYER CONSERVATION AREA,10.6730,habitation,4,CityEngineMaterial_506_m,1.28085,103.846
507,TELOK AYER CONSERVATION AREA,10.7280,habitation,4,CityEngineMaterial_507_m,1.28089,103.846
508,TELOK AYER CONSERVATION AREA,15.3510,habitation,5,CityEngineMaterial_508_m,1.28092,103.846
509,TELOK AYER CONSERVATION AREA,10.0480,habitation,3,CityEngineMaterial_509_m,1.28096,103.846
510,TELOK AYER CONSERVATION AREA,10.5670,habitation,4,CityEngineMaterial_510_m,1.28100,103.846
511,TELOK AYER CONSERVATION AREA,10.6120,habitation,4,CityEngineMaterial_511_m,1.28104,103.846
512,TELOK AYER CONSERVATION AREA,15.3880,habitation,5,CityEngineMaterial_512_m,1.28108,103.846
513,TELOK AYER CONSERVATION AREA,10.4910,habitation,3,CityEngineMaterial_513_m,1.28111,103.846
514,,10.3270,,3,CityEngineMaterial_514_m,1.28115,103.846
515,TELOK AYER CONSERVATION AREA,10.4370,,3,CityEngineMaterial_515_m,1.28119,103.846
516,TELOK AYER CONSERVATION AREA,10.6690,,4,CityEngineMaterial_516_m,1.28121,103.846
517,TELOK AYER CONSERVATION AREA,10.7750,habitation,4,CityEngineMaterial_517_m,1.28125,103.846
518,,11.1560,,4,CityEngineMaterial_518_m,1.28128,103.846
519,TELOK AYER CONSERVATION AREA,13.2680,habitation,4,CityEngineMaterial_519_m,1.28131,103.846
520,TELOK AYER CONSERVATION AREA,12.9270,habitation,4,CityEngineMaterial_520_m,1.28134,103.846
521,TELOK AYER CONSERVATION AREA,13.5050,habitation,5,CityEngineMaterial_521_m,1.28137,103.846
522,TELOK AYER CONSERVATION AREA,18.6770,sport,6,CityEngineMaterial_522_m,1.28116,103.846
523,TELOK AYER CONSERVATION AREA,20.0900,sport,7,CityEngineMaterial_523_m,1.28135,103.846
524,TELOK AYER CONSERVATION AREA,12.6760,habitation,4,CityEngineMaterial_524_m,1.28142,103.846
525,TELOK AYER CONSERVATION AREA,13.2390,habitation,4,CityEngineMaterial_525_m,1.28145,103.846
526,TELOK AYER CONSERVATION AREA,15.0050,habitation,5,CityEngineMaterial_526_m,1.28147,103.846
527,TELOK AYER CONSERVATION AREA,15.3770,,5,CityEngineMaterial_527_m,1.28149,103.846
528,,11.5700,,4,CityEngineMaterial_528_m,1.28150,103.846
529,TELOK AYER CONSERVATION AREA,13.8080,habitation,5,CityEngineMaterial_529_m,1.28152,103.846
530,TELOK AYER CONSERVATION AREA,12.6840,habitation,4,CityEngineMaterial_530_m,1.28155,103.846
531,TELOK AYER CONSERVATION AREA,12.0350,,4,CityEngineMaterial_531_m,1.28158,103.846
532,TELOK AYER CONSERVATION AREA,10.9590,,4,CityEngineMaterial_532_m,1.28162,103.846
533,TELOK AYER CONSERVATION AREA,13.2690,,4,CityEngineMaterial_533_m,1.28161,103.846
534,,15.1500,,5,CityEngineMaterial_534_m,1.28165,103.846
535,TELOK AYER CONSERVATION AREA,17.8920,habitation,6,CityEngineMaterial_535_m,1.28170,103.846
536,TELOK AYER CONSERVATION AREA,14.0240,,5,CityEngineMaterial_536_m,1.28174,103.846
537,TELOK AYER CONSERVATION AREA,15.6710,habitation,5,CityEngineMaterial_537_m,1.28170,103.846
